country,measure,number_of_arrivals,median_time_in_port_days
World,All ships,4112944,0.97
World,Passenger ship,2227407,..
World,Wet bulk,494120,0.94
World,Container ship,454016,0.7
World,Dry breakbulk,430344,1.11
World,Dry bulk,259551,2.05
World,Roll-on/ roll-off ship,187532,..
World,Liquefied petroleum gas carriers,49357,1.02
World,Liquefied natural gas carriers,10617,1.11
Albania,All ships,2085,1.46
Albania,Passenger ship,1252,..
Albania,Wet bulk,85,1.85
Albania,Container ship,148,0.86
Albania,Dry breakbulk,482,2.03
Albania,Dry bulk,52,1.99
Albania,Roll-on/ roll-off ship,..,..
Albania,Liquefied petroleum gas carriers,66,0.9
Albania,Liquefied natural gas carriers,..,..
Algeria,All ships,5284,2.43
Algeria,Passenger ship,521,..
Algeria,Wet bulk,781,1.54
Algeria,Container ship,926,2.96
Algeria,Dry breakbulk,1721,2.5
Algeria,Dry bulk,645,6.85
Algeria,Roll-on/ roll-off ship,232,..
Algeria,Liquefied petroleum gas carriers,326,1.37
Algeria,Liquefied natural gas carriers,132,1.07
American Samoa,All ships,148,0.74
American Samoa,Passenger ship,..,..
American Samoa,Wet bulk,..,..
American Samoa,Container ship,87,0.99
American Samoa,Dry breakbulk,61,0.57
American Samoa,Dry bulk,..,..
American Samoa,Roll-on/ roll-off ship,..,..
American Samoa,Liquefied petroleum gas carriers,..,..
American Samoa,Liquefied natural gas carriers,..,..
Angola,All ships,1685,1.87
Angola,Passenger ship,..,..
Angola,Wet bulk,485,1.28
Angola,Container ship,435,1.79
Angola,Dry breakbulk,397,2.06
Angola,Dry bulk,53,8.56
Angola,Roll-on/ roll-off ship,60,..
Angola,Liquefied petroleum gas carriers,196,1.87
Angola,Liquefied natural gas carriers,59,1.36
Antigua and Barbuda,All ships,833,0.67
Antigua and Barbuda,Passenger ship,377,..
Antigua and Barbuda,Wet bulk,192,1.06
Antigua and Barbuda,Container ship,..,..
Antigua and Barbuda,Dry breakbulk,171,0.38
Antigua and Barbuda,Dry bulk,..,..
Antigua and Barbuda,Roll-on/ roll-off ship,93,..
Antigua and Barbuda,Liquefied petroleum gas carriers,..,..
Antigua and Barbuda,Liquefied natural gas carriers,..,..
Argentina,All ships,12261,1.91
Argentina,Passenger ship,3529,..
Argentina,Wet bulk,3660,1.54
Argentina,Container ship,1104,1.46
Argentina,Dry breakbulk,776,1.18
Argentina,Dry bulk,2793,3.29
Argentina,Roll-on/ roll-off ship,277,..
Argentina,Liquefied petroleum gas carriers,67,1.75
Argentina,Liquefied natural gas carriers,55,1.52
Aruba,All ships,770,0.74
Aruba,Passenger ship,336,..
Aruba,Wet bulk,109,1.18
Aruba,Container ship,160,0.73
Aruba,Dry breakbulk,121,0.4
Aruba,Dry bulk,..,..
Aruba,Roll-on/ roll-off ship,44,..
Aruba,Liquefied petroleum gas carriers,..,..
Aruba,Liquefied natural gas carriers,..,..
Australia,All ships,62029,1.48
Australia,Passenger ship,32246,..
Australia,Wet bulk,3673,1.34
Australia,Container ship,4425,1.2
Australia,Dry breakbulk,2530,1.79
Australia,Dry bulk,14690,1.65
Australia,Roll-on/ roll-off ship,3052,..
Australia,Liquefied petroleum gas carriers,360,0.9
Australia,Liquefied natural gas carriers,1053,1.22
Austria,All ships,1653,..
Austria,Passenger ship,1653,..
Austria,Wet bulk,..,..
Austria,Container ship,..,..
Austria,Dry breakbulk,..,..
Austria,Dry bulk,..,..
Austria,Roll-on/ roll-off ship,..,..
Austria,Liquefied petroleum gas carriers,..,..
Austria,Liquefied natural gas carriers,..,..
Azerbaijan,All ships,2331,1.24
Azerbaijan,Passenger ship,596,..
Azerbaijan,Wet bulk,1107,1.18
Azerbaijan,Container ship,..,..
Azerbaijan,Dry breakbulk,406,3.04
Azerbaijan,Dry bulk,..,..
Azerbaijan,Roll-on/ roll-off ship,222,..
Azerbaijan,Liquefied petroleum gas carriers,..,..
Azerbaijan,Liquefied natural gas carriers,..,..
Bahamas,All ships,5787,0.83
Bahamas,Passenger ship,3326,..
Bahamas,Wet bulk,463,1.88
Bahamas,Container ship,958,0.8
Bahamas,Dry breakbulk,548,0.32
Bahamas,Dry bulk,93,1
Bahamas,Roll-on/ roll-off ship,399,..
Bahamas,Liquefied petroleum gas carriers,..,..
Bahamas,Liquefied natural gas carriers,..,..
Bahrain,All ships,1748,1.84
Bahrain,Passenger ship,28,..
Bahrain,Wet bulk,475,1.85
Bahrain,Container ship,322,0.72
Bahrain,Dry breakbulk,323,2.03
Bahrain,Dry bulk,378,3.13
Bahrain,Roll-on/ roll-off ship,211,..
Bahrain,Liquefied petroleum gas carriers,11,2.3
Bahrain,Liquefied natural gas carriers,..,..
Bangladesh,All ships,2611,2.99
Bangladesh,Passenger ship,..,..
Bangladesh,Wet bulk,384,2.03
Bangladesh,Container ship,1338,2.97
Bangladesh,Dry breakbulk,475,3.11
Bangladesh,Dry bulk,294,5.77
Bangladesh,Roll-on/ roll-off ship,56,..
Bangladesh,Liquefied petroleum gas carriers,64,1.05
Bangladesh,Liquefied natural gas carriers,..,..
Barbados,All ships,1149,0.56
Barbados,Passenger ship,445,..
Barbados,Wet bulk,145,1.08
Barbados,Container ship,179,0.51
Barbados,Dry breakbulk,328,0.54
Barbados,Dry bulk,17,0.94
Barbados,Roll-on/ roll-off ship,35,..
Barbados,Liquefied petroleum gas carriers,..,..
Barbados,Liquefied natural gas carriers,..,..
Belgium,All ships,32377,1.27
Belgium,Passenger ship,566,..
Belgium,Wet bulk,11237,1.3
Belgium,Container ship,5034,1.02
Belgium,Dry breakbulk,6685,1.43
Belgium,Dry bulk,968,3.88
Belgium,Roll-on/ roll-off ship,6629,..
Belgium,Liquefied petroleum gas carriers,1156,1.4
Belgium,Liquefied natural gas carriers,102,1.18
Belize,All ships,530,0.58
Belize,Passenger ship,355,..
Belize,Wet bulk,21,1.24
Belize,Container ship,49,0.59
Belize,Dry breakbulk,105,0.53
Belize,Dry bulk,..,..
Belize,Roll-on/ roll-off ship,..,..
Belize,Liquefied petroleum gas carriers,..,..
Belize,Liquefied natural gas carriers,..,..
Benin,All ships,1048,1.08
Benin,Passenger ship,..,..
Benin,Wet bulk,97,1.91
Benin,Container ship,485,0.82
Benin,Dry breakbulk,120,2.62
Benin,Dry bulk,110,9.02
Benin,Roll-on/ roll-off ship,192,..
Benin,Liquefied petroleum gas carriers,44,1.25
Benin,Liquefied natural gas carriers,..,..
Bermuda,All ships,175,..
Bermuda,Passenger ship,175,..
Bermuda,Wet bulk,..,..
Bermuda,Container ship,..,..
Bermuda,Dry breakbulk,..,..
Bermuda,Dry bulk,..,..
Bermuda,Roll-on/ roll-off ship,..,..
Bermuda,Liquefied petroleum gas carriers,..,..
Bermuda,Liquefied natural gas carriers,..,..
Brazil,All ships,29084,1.59
Brazil,Passenger ship,1538,..
Brazil,Wet bulk,6426,1.74
Brazil,Container ship,7521,0.81
Brazil,Dry breakbulk,1794,2.45
Brazil,Dry bulk,9518,2.67
Brazil,Roll-on/ roll-off ship,899,..
Brazil,Liquefied petroleum gas carriers,1377,1.66
Brazil,Liquefied natural gas carriers,11,2.94
British Virgin Islands,All ships,293,0.57
British Virgin Islands,Passenger ship,123,..
British Virgin Islands,Wet bulk,..,..
British Virgin Islands,Container ship,..,..
British Virgin Islands,Dry breakbulk,170,0.57
British Virgin Islands,Dry bulk,..,..
British Virgin Islands,Roll-on/ roll-off ship,..,..
British Virgin Islands,Liquefied petroleum gas carriers,..,..
British Virgin Islands,Liquefied natural gas carriers,..,..
Brunei Darussalam,All ships,616,0.82
Brunei Darussalam,Passenger ship,105,..
Brunei Darussalam,Wet bulk,60,1.1
Brunei Darussalam,Container ship,207,0.49
Brunei Darussalam,Dry breakbulk,155,1.09
Brunei Darussalam,Dry bulk,40,3.43
Brunei Darussalam,Roll-on/ roll-off ship,49,..
Brunei Darussalam,Liquefied petroleum gas carriers,..,..
Brunei Darussalam,Liquefied natural gas carriers,..,..
Bulgaria,All ships,3094,1.95
Bulgaria,Passenger ship,..,..
Bulgaria,Wet bulk,744,1.58
Bulgaria,Container ship,438,0.88
Bulgaria,Dry breakbulk,1416,2.57
Bulgaria,Dry bulk,405,5.27
Bulgaria,Roll-on/ roll-off ship,50,..
Bulgaria,Liquefied petroleum gas carriers,41,1.88
Bulgaria,Liquefied natural gas carriers,..,..
Cabo Verde,All ships,4196,0.83
Cabo Verde,Passenger ship,2878,..
Cabo Verde,Wet bulk,548,0.88
Cabo Verde,Container ship,338,0.95
Cabo Verde,Dry breakbulk,263,0.7
Cabo Verde,Dry bulk,158,0.53
Cabo Verde,Roll-on/ roll-off ship,..,..
Cabo Verde,Liquefied petroleum gas carriers,11,0.65
Cabo Verde,Liquefied natural gas carriers,..,..
Cambodia,All ships,239,1.03
Cambodia,Passenger ship,15,..
Cambodia,Wet bulk,41,1.09
Cambodia,Container ship,158,0.89
Cambodia,Dry breakbulk,25,1.35
Cambodia,Dry bulk,..,..
Cambodia,Roll-on/ roll-off ship,..,..
Cambodia,Liquefied petroleum gas carriers,..,..
Cambodia,Liquefied natural gas carriers,..,..
Cameroon,All ships,1133,2.57
Cameroon,Passenger ship,..,..
Cameroon,Wet bulk,234,2.1
Cameroon,Container ship,255,2.13
Cameroon,Dry breakbulk,293,2.07
Cameroon,Dry bulk,250,6.74
Cameroon,Roll-on/ roll-off ship,77,..
Cameroon,Liquefied petroleum gas carriers,24,2.52
Cameroon,Liquefied natural gas carriers,..,..
Canada,All ships,86533,0.65
Canada,Passenger ship,59308,..
Canada,Wet bulk,4721,1.12
Canada,Container ship,2131,1.49
Canada,Dry breakbulk,3281,0.28
Canada,Dry bulk,13562,0.32
Canada,Roll-on/ roll-off ship,3530,..
Canada,Liquefied petroleum gas carriers,..,..
Canada,Liquefied natural gas carriers,..,..
Cayman Islands,All ships,873,0.55
Cayman Islands,Passenger ship,644,..
Cayman Islands,Wet bulk,51,0.61
Cayman Islands,Container ship,..,..
Cayman Islands,Dry breakbulk,178,0.54
Cayman Islands,Dry bulk,..,..
Cayman Islands,Roll-on/ roll-off ship,..,..
Cayman Islands,Liquefied petroleum gas carriers,..,..
Cayman Islands,Liquefied natural gas carriers,..,..
Chile,All ships,17608,1.33
Chile,Passenger ship,9227,..
Chile,Wet bulk,2069,1.25
Chile,Container ship,2238,1.01
Chile,Dry breakbulk,1426,1.62
Chile,Dry bulk,1769,2.3
Chile,Roll-on/ roll-off ship,745,..
Chile,Liquefied petroleum gas carriers,79,1.94
Chile,Liquefied natural gas carriers,55,1.13
China,All ships,240385,1.02
China,Passenger ship,34937,..
China,Wet bulk,35842,1.1
China,Container ship,71535,0.62
China,Dry breakbulk,28805,1.17
China,Dry bulk,54901,2
China,Roll-on/ roll-off ship,6610,..
China,Liquefied petroleum gas carriers,7061,1
China,Liquefied natural gas carriers,694,1.21
"China, Hong Kong SAR",All ships,23096,0.56
"China, Hong Kong SAR",Passenger ship,1500,..
"China, Hong Kong SAR",Wet bulk,7419,0.63
"China, Hong Kong SAR",Container ship,12781,0.54
"China, Hong Kong SAR",Dry breakbulk,512,0.84
"China, Hong Kong SAR",Dry bulk,453,2.35
"China, Hong Kong SAR",Roll-on/ roll-off ship,304,..
"China, Hong Kong SAR",Liquefied petroleum gas carriers,127,0.92
"China, Hong Kong SAR",Liquefied natural gas carriers,..,..
"China, Taiwan Province of",All ships,32101,0.65
"China, Taiwan Province of",Passenger ship,1372,..
"China, Taiwan Province of",Wet bulk,4975,1.05
"China, Taiwan Province of",Container ship,15616,0.46
"China, Taiwan Province of",Dry breakbulk,4667,1.26
"China, Taiwan Province of",Dry bulk,4219,2.14
"China, Taiwan Province of",Roll-on/ roll-off ship,423,..
"China, Taiwan Province of",Liquefied petroleum gas carriers,551,0.98
"China, Taiwan Province of",Liquefied natural gas carriers,278,0.99
Christmas Island,All ships,77,0.48
Christmas Island,Passenger ship,..,..
Christmas Island,Wet bulk,..,..
Christmas Island,Container ship,..,..
Christmas Island,Dry breakbulk,77,0.48
Christmas Island,Dry bulk,..,..
Christmas Island,Roll-on/ roll-off ship,..,..
Christmas Island,Liquefied petroleum gas carriers,..,..
Christmas Island,Liquefied natural gas carriers,..,..
Colombia,All ships,8714,0.93
Colombia,Passenger ship,244,..
Colombia,Wet bulk,1137,1.2
Colombia,Container ship,3689,0.6
Colombia,Dry breakbulk,1132,1.41
Colombia,Dry bulk,1850,2.51
Colombia,Roll-on/ roll-off ship,472,..
Colombia,Liquefied petroleum gas carriers,190,1.24
Colombia,Liquefied natural gas carriers,..,..
Comoros,All ships,149,1.38
Comoros,Passenger ship,..,..
Comoros,Wet bulk,..,..
Comoros,Container ship,..,..
Comoros,Dry breakbulk,149,1.38
Comoros,Dry bulk,..,..
Comoros,Roll-on/ roll-off ship,..,..
Comoros,Liquefied petroleum gas carriers,..,..
Comoros,Liquefied natural gas carriers,..,..
Congo,All ships,933,1.34
Congo,Passenger ship,..,..
Congo,Wet bulk,36,2.93
Congo,Container ship,392,1.15
Congo,Dry breakbulk,395,1.34
Congo,Dry bulk,78,5.43
Congo,Roll-on/ roll-off ship,32,..
Congo,Liquefied petroleum gas carriers,..,..
Congo,Liquefied natural gas carriers,..,..
Costa Rica,All ships,2415,1.11
Costa Rica,Passenger ship,238,..
Costa Rica,Wet bulk,132,1.49
Costa Rica,Container ship,1158,1.06
Costa Rica,Dry breakbulk,505,1.05
Costa Rica,Dry bulk,192,1.69
Costa Rica,Roll-on/ roll-off ship,169,..
Costa Rica,Liquefied petroleum gas carriers,21,1.36
Costa Rica,Liquefied natural gas carriers,..,..
C�te d'Ivoire,All ships,2149,1.91
C�te d'Ivoire,Passenger ship,..,..
C�te d'Ivoire,Wet bulk,217,2.08
C�te d'Ivoire,Container ship,694,1.15
C�te d'Ivoire,Dry breakbulk,592,2.75
C�te d'Ivoire,Dry bulk,421,5.38
C�te d'Ivoire,Roll-on/ roll-off ship,173,..
C�te d'Ivoire,Liquefied petroleum gas carriers,52,3.61
C�te d'Ivoire,Liquefied natural gas carriers,..,..
Croatia,All ships,68378,1.2
Croatia,Passenger ship,66285,..
Croatia,Wet bulk,572,1.04
Croatia,Container ship,394,0.59
Croatia,Dry breakbulk,765,2.63
Croatia,Dry bulk,362,1.81
Croatia,Roll-on/ roll-off ship,..,..
Croatia,Liquefied petroleum gas carriers,..,..
Croatia,Liquefied natural gas carriers,..,..
Cuba,All ships,1735,2.59
Cuba,Passenger ship,280,..
Cuba,Wet bulk,395,2.29
Cuba,Container ship,222,1.39
Cuba,Dry breakbulk,512,3.09
Cuba,Dry bulk,272,9.68
Cuba,Roll-on/ roll-off ship,..,..
Cuba,Liquefied petroleum gas carriers,54,1.41
Cuba,Liquefied natural gas carriers,..,..
Cura�ao,All ships,1323,1.08
Cura�ao,Passenger ship,298,..
Cura�ao,Wet bulk,309,1.83
Cura�ao,Container ship,148,1.95
Cura�ao,Dry breakbulk,470,0.52
Cura�ao,Dry bulk,36,1.11
Cura�ao,Roll-on/ roll-off ship,44,..
Cura�ao,Liquefied petroleum gas carriers,18,1.48
Cura�ao,Liquefied natural gas carriers,..,..
Cyprus,All ships,4594,0.68
Cyprus,Passenger ship,466,..
Cyprus,Wet bulk,909,0.39
Cyprus,Container ship,722,0.58
Cyprus,Dry breakbulk,1393,1.01
Cyprus,Dry bulk,122,1.12
Cyprus,Roll-on/ roll-off ship,982,..
Cyprus,Liquefied petroleum gas carriers,..,..
Cyprus,Liquefied natural gas carriers,..,..
Dem. Rep. of the Congo,All ships,267,1.95
Dem. Rep. of the Congo,Passenger ship,..,..
Dem. Rep. of the Congo,Wet bulk,..,..
Dem. Rep. of the Congo,Container ship,..,..
Dem. Rep. of the Congo,Dry breakbulk,217,1.81
Dem. Rep. of the Congo,Dry bulk,50,5.8
Dem. Rep. of the Congo,Roll-on/ roll-off ship,..,..
Dem. Rep. of the Congo,Liquefied petroleum gas carriers,..,..
Dem. Rep. of the Congo,Liquefied natural gas carriers,..,..
Denmark,All ships,113642,0.74
Denmark,Passenger ship,99434,..
Denmark,Wet bulk,2840,0.65
Denmark,Container ship,1171,0.49
Denmark,Dry breakbulk,8151,0.84
Denmark,Dry bulk,783,0.87
Denmark,Roll-on/ roll-off ship,1185,..
Denmark,Liquefied petroleum gas carriers,78,1.07
Denmark,Liquefied natural gas carriers,..,..
Djibouti,All ships,1285,1
Djibouti,Passenger ship,..,..
Djibouti,Wet bulk,235,1.07
Djibouti,Container ship,522,0.81
Djibouti,Dry breakbulk,171,1.75
Djibouti,Dry bulk,210,3.92
Djibouti,Roll-on/ roll-off ship,147,..
Djibouti,Liquefied petroleum gas carriers,..,..
Djibouti,Liquefied natural gas carriers,..,..
Dominica,All ships,272,0.42
Dominica,Passenger ship,87,..
Dominica,Wet bulk,..,..
Dominica,Container ship,27,0.57
Dominica,Dry breakbulk,108,0.4
Dominica,Dry bulk,..,..
Dominica,Roll-on/ roll-off ship,50,..
Dominica,Liquefied petroleum gas carriers,..,..
Dominica,Liquefied natural gas carriers,..,..
Dominican Republic,All ships,4144,0.82
Dominican Republic,Passenger ship,491,..
Dominican Republic,Wet bulk,402,1.29
Dominican Republic,Container ship,1797,0.67
Dominican Republic,Dry breakbulk,860,0.76
Dominican Republic,Dry bulk,318,3.47
Dominican Republic,Roll-on/ roll-off ship,174,..
Dominican Republic,Liquefied petroleum gas carriers,90,1.35
Dominican Republic,Liquefied natural gas carriers,12,1.35
Ecuador,All ships,4476,1.13
Ecuador,Passenger ship,467,..
Ecuador,Wet bulk,1493,0.82
Ecuador,Container ship,1366,1.14
Ecuador,Dry breakbulk,682,2.41
Ecuador,Dry bulk,266,2.88
Ecuador,Roll-on/ roll-off ship,172,..
Ecuador,Liquefied petroleum gas carriers,30,1.3
Ecuador,Liquefied natural gas carriers,..,..
Egypt,All ships,10663,1.44
Egypt,Passenger ship,642,..
Egypt,Wet bulk,1073,1.85
Egypt,Container ship,3685,0.89
Egypt,Dry breakbulk,2467,2.7
Egypt,Dry bulk,1983,4.42
Egypt,Roll-on/ roll-off ship,603,..
Egypt,Liquefied petroleum gas carriers,179,2.1
Egypt,Liquefied natural gas carriers,31,1.25
El Salvador,All ships,711,1.32
El Salvador,Passenger ship,..,..
El Salvador,Wet bulk,202,1.23
El Salvador,Container ship,229,1.29
El Salvador,Dry breakbulk,22,2.05
El Salvador,Dry bulk,178,1.83
El Salvador,Roll-on/ roll-off ship,80,..
El Salvador,Liquefied petroleum gas carriers,..,..
El Salvador,Liquefied natural gas carriers,..,..
Equatorial Guinea,All ships,769,1.16
Equatorial Guinea,Passenger ship,..,..
Equatorial Guinea,Wet bulk,116,1.19
Equatorial Guinea,Container ship,107,1.23
Equatorial Guinea,Dry breakbulk,231,1.09
Equatorial Guinea,Dry bulk,164,1.14
Equatorial Guinea,Roll-on/ roll-off ship,28,..
Equatorial Guinea,Liquefied petroleum gas carriers,68,1.05
Equatorial Guinea,Liquefied natural gas carriers,55,1.2
Eritrea,All ships,59,2
Eritrea,Passenger ship,..,..
Eritrea,Wet bulk,13,2
Eritrea,Container ship,..,..
Eritrea,Dry breakbulk,46,2.01
Eritrea,Dry bulk,..,..
Eritrea,Roll-on/ roll-off ship,..,..
Eritrea,Liquefied petroleum gas carriers,..,..
Eritrea,Liquefied natural gas carriers,..,..
Estonia,All ships,32780,0.83
Estonia,Passenger ship,27375,..
Estonia,Wet bulk,1852,0.78
Estonia,Container ship,388,0.54
Estonia,Dry breakbulk,2614,0.89
Estonia,Dry bulk,157,3.25
Estonia,Roll-on/ roll-off ship,352,..
Estonia,Liquefied petroleum gas carriers,42,0.78
Estonia,Liquefied natural gas carriers,..,..
Faroe Islands,All ships,8201,0.49
Faroe Islands,Passenger ship,6964,..
Faroe Islands,Wet bulk,125,0.45
Faroe Islands,Container ship,276,0.23
Faroe Islands,Dry breakbulk,836,0.82
Faroe Islands,Dry bulk,..,..
Faroe Islands,Roll-on/ roll-off ship,..,..
Faroe Islands,Liquefied petroleum gas carriers,..,..
Faroe Islands,Liquefied natural gas carriers,..,..
Falkland Islands (Malvinas),All ships,60,..
Falkland Islands (Malvinas),Passenger ship,60,..
Falkland Islands (Malvinas),Wet bulk,..,..
Falkland Islands (Malvinas),Container ship,..,..
Falkland Islands (Malvinas),Dry breakbulk,..,..
Falkland Islands (Malvinas),Dry bulk,..,..
Falkland Islands (Malvinas),Roll-on/ roll-off ship,..,..
Falkland Islands (Malvinas),Liquefied petroleum gas carriers,..,..
Falkland Islands (Malvinas),Liquefied natural gas carriers,..,..
Fiji,All ships,1974,0.97
Fiji,Passenger ship,924,..
Fiji,Wet bulk,244,1.29
Fiji,Container ship,370,0.94
Fiji,Dry breakbulk,325,0.68
Fiji,Dry bulk,35,2.93
Fiji,Roll-on/ roll-off ship,38,..
Fiji,Liquefied petroleum gas carriers,38,0.69
Fiji,Liquefied natural gas carriers,..,..
Finland,All ships,35406,1.03
Finland,Passenger ship,20001,..
Finland,Wet bulk,3070,0.88
Finland,Container ship,1896,0.79
Finland,Dry breakbulk,6250,1.28
Finland,Dry bulk,398,1.66
Finland,Roll-on/ roll-off ship,3672,..
Finland,Liquefied petroleum gas carriers,119,1.08
Finland,Liquefied natural gas carriers,..,..
French Polynesia,All ships,4976,0.3
French Polynesia,Passenger ship,4232,..
French Polynesia,Wet bulk,..,..
French Polynesia,Container ship,107,0.65
French Polynesia,Dry breakbulk,637,0.16
French Polynesia,Dry bulk,..,..
French Polynesia,Roll-on/ roll-off ship,..,..
French Polynesia,Liquefied petroleum gas carriers,..,..
French Polynesia,Liquefied natural gas carriers,..,..
Gabon,All ships,780,1.37
Gabon,Passenger ship,63,..
Gabon,Wet bulk,195,1.58
Gabon,Container ship,143,0.99
Gabon,Dry breakbulk,237,1.15
Gabon,Dry bulk,101,3.57
Gabon,Roll-on/ roll-off ship,41,..
Gabon,Liquefied petroleum gas carriers,..,..
Gabon,Liquefied natural gas carriers,..,..
Gambia,All ships,240,3.46
Gambia,Passenger ship,..,..
Gambia,Wet bulk,..,..
Gambia,Container ship,144,3.39
Gambia,Dry breakbulk,46,3.43
Gambia,Dry bulk,50,3.89
Gambia,Roll-on/ roll-off ship,..,..
Gambia,Liquefied petroleum gas carriers,..,..
Gambia,Liquefied natural gas carriers,..,..
Georgia,All ships,1381,1.51
Georgia,Passenger ship,..,..
Georgia,Wet bulk,391,1.35
Georgia,Container ship,274,1.15
Georgia,Dry breakbulk,546,1.86
Georgia,Dry bulk,69,6.01
Georgia,Roll-on/ roll-off ship,89,..
Georgia,Liquefied petroleum gas carriers,12,2.18
Georgia,Liquefied natural gas carriers,..,..
Germany,All ships,106613,0.56
Germany,Passenger ship,56349,..
Germany,Wet bulk,14394,0.36
Germany,Container ship,9589,0.79
Germany,Dry breakbulk,18293,0.5
Germany,Dry bulk,1430,2.48
Germany,Roll-on/ roll-off ship,5651,..
Germany,Liquefied petroleum gas carriers,907,0.75
Germany,Liquefied natural gas carriers,..,..
Ghana,All ships,2569,1.52
Ghana,Passenger ship,..,..
Ghana,Wet bulk,392,1.78
Ghana,Container ship,617,1.31
Ghana,Dry breakbulk,912,0.72
Ghana,Dry bulk,395,4.49
Ghana,Roll-on/ roll-off ship,172,..
Ghana,Liquefied petroleum gas carriers,81,3.01
Ghana,Liquefied natural gas carriers,..,..
Gibraltar,All ships,2154,0.28
Gibraltar,Passenger ship,340,..
Gibraltar,Wet bulk,1252,0.35
Gibraltar,Container ship,40,0.31
Gibraltar,Dry breakbulk,498,0.2
Gibraltar,Dry bulk,12,6.1
Gibraltar,Roll-on/ roll-off ship,12,..
Gibraltar,Liquefied petroleum gas carriers,..,..
Gibraltar,Liquefied natural gas carriers,..,..
Greece,All ships,155072,0.71
Greece,Passenger ship,126537,..
Greece,Wet bulk,12275,0.54
Greece,Container ship,3807,0.95
Greece,Dry breakbulk,6366,1.07
Greece,Dry bulk,2928,0.35
Greece,Roll-on/ roll-off ship,2706,..
Greece,Liquefied petroleum gas carriers,438,0.88
Greece,Liquefied natural gas carriers,15,0.99
Greenland,All ships,319,0.54
Greenland,Passenger ship,222,..
Greenland,Wet bulk,..,..
Greenland,Container ship,..,..
Greenland,Dry breakbulk,97,0.54
Greenland,Dry bulk,..,..
Greenland,Roll-on/ roll-off ship,..,..
Greenland,Liquefied petroleum gas carriers,..,..
Greenland,Liquefied natural gas carriers,..,..
Grenada,All ships,451,0.37
Grenada,Passenger ship,203,..
Grenada,Wet bulk,..,..
Grenada,Container ship,86,0.3
Grenada,Dry breakbulk,162,0.4
Grenada,Dry bulk,..,..
Grenada,Roll-on/ roll-off ship,..,..
Grenada,Liquefied petroleum gas carriers,..,..
Grenada,Liquefied natural gas carriers,..,..
Guam,All ships,322,1.3
Guam,Passenger ship,..,..
Guam,Wet bulk,51,2.05
Guam,Container ship,129,0.97
Guam,Dry breakbulk,90,2.16
Guam,Dry bulk,..,..
Guam,Roll-on/ roll-off ship,52,..
Guam,Liquefied petroleum gas carriers,..,..
Guam,Liquefied natural gas carriers,..,..
Guatemala,All ships,3236,0.79
Guatemala,Passenger ship,117,..
Guatemala,Wet bulk,450,1.12
Guatemala,Container ship,1867,0.65
Guatemala,Dry breakbulk,304,0.93
Guatemala,Dry bulk,360,2.3
Guatemala,Roll-on/ roll-off ship,138,..
Guatemala,Liquefied petroleum gas carriers,..,..
Guatemala,Liquefied natural gas carriers,..,..
Guinea,All ships,1104,2.02
Guinea,Passenger ship,..,..
Guinea,Wet bulk,100,1.77
Guinea,Container ship,241,0.97
Guinea,Dry breakbulk,199,1.27
Guinea,Dry bulk,453,2.99
Guinea,Roll-on/ roll-off ship,111,..
Guinea,Liquefied petroleum gas carriers,..,..
Guinea,Liquefied natural gas carriers,..,..
Guinea-Bissau,All ships,101,2.87
Guinea-Bissau,Passenger ship,..,..
Guinea-Bissau,Wet bulk,..,..
Guinea-Bissau,Container ship,59,2.86
Guinea-Bissau,Dry breakbulk,42,3.03
Guinea-Bissau,Dry bulk,..,..
Guinea-Bissau,Roll-on/ roll-off ship,..,..
Guinea-Bissau,Liquefied petroleum gas carriers,..,..
Guinea-Bissau,Liquefied natural gas carriers,..,..
Guyana,All ships,1083,1.01
Guyana,Passenger ship,..,..
Guyana,Wet bulk,244,1.58
Guyana,Container ship,184,0.96
Guyana,Dry breakbulk,504,0.79
Guyana,Dry bulk,151,3.38
Guyana,Roll-on/ roll-off ship,..,..
Guyana,Liquefied petroleum gas carriers,..,..
Guyana,Liquefied natural gas carriers,..,..
Haiti,All ships,949,0.95
Haiti,Passenger ship,64,..
Haiti,Wet bulk,64,1.96
Haiti,Container ship,192,0.57
Haiti,Dry breakbulk,402,0.94
Haiti,Dry bulk,125,4.99
Haiti,Roll-on/ roll-off ship,102,..
Haiti,Liquefied petroleum gas carriers,..,..
Haiti,Liquefied natural gas carriers,..,..
Honduras,All ships,2352,0.56
Honduras,Passenger ship,393,..
Honduras,Wet bulk,228,1.36
Honduras,Container ship,1297,0.46
Honduras,Dry breakbulk,130,1.65
Honduras,Dry bulk,163,3.49
Honduras,Roll-on/ roll-off ship,94,..
Honduras,Liquefied petroleum gas carriers,47,1.45
Honduras,Liquefied natural gas carriers,..,..
Hungary,All ships,220,..
Hungary,Passenger ship,220,..
Hungary,Wet bulk,..,..
Hungary,Container ship,..,..
Hungary,Dry breakbulk,..,..
Hungary,Dry bulk,..,..
Hungary,Roll-on/ roll-off ship,..,..
Hungary,Liquefied petroleum gas carriers,..,..
Hungary,Liquefied natural gas carriers,..,..
Iceland,All ships,5263,0.71
Iceland,Passenger ship,2858,..
Iceland,Wet bulk,242,0.48
Iceland,Container ship,771,0.65
Iceland,Dry breakbulk,1300,0.78
Iceland,Dry bulk,92,2.05
Iceland,Roll-on/ roll-off ship,..,..
Iceland,Liquefied petroleum gas carriers,..,..
